== analysis info ==
RunID:20140314110640
AnalysisID:1
AnalysisName:Furnace-1x0.28
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:11:06:40
== counters ==
64 21.000000 0.000000
62 24.000000 0.000000


== scan data ==
He4Scan 0.503280 2.395244
He4Scan 0.503300 3.145222
He4Scan 0.503320 2.395244
He4Scan 0.503340 2.245255
He4Scan 0.503360 4.195287
He4Scan 0.503380 4.570338
He4Scan 0.503400 5.620554
He4Scan 0.503420 4.645349
He4Scan 0.503440 4.279672
He4Scan 0.503460 4.420316
He4Scan 0.503480 3.595237
He4Scan 0.503500 4.645349
He4Scan 0.503520 5.545535
He4Scan 0.503540 5.770594
He4Scan 0.503560 8.471702
He4Scan 0.503580 10.197796
He4Scan 0.503600 12.374605
He4Scan 0.503620 19.743649
He4Scan 0.503640 334.230483
He4Scan 0.503660 6139.171649
He4Scan 0.503680 40043.611441
He4Scan 0.503700 62539.578716
He4Scan 0.503720 67935.393039
He4Scan 0.503740 68637.774899
He4Scan 0.503760 68712.105768
He4Scan 0.503780 68654.294253
He4Scan 0.503800 68713.454023
He4Scan 0.503820 68717.161933
He4Scan 0.503840 68712.442828
He4Scan 0.503860 68691.443190
He4Scan 0.503880 68699.965279
He4Scan 0.503900 68698.826093
He4Scan 0.503920 68699.838701
He4Scan 0.503940 68683.344509
He4Scan 0.503960 68713.454023
He4Scan 0.503980 68700.176243
He4Scan 0.504000 68695.788407
He4Scan 0.504020 68670.145148
He4Scan 0.504040 68655.305843
He4Scan 0.504060 68345.026922
He4Scan 0.504080 63191.754196
He4Scan 0.504100 34443.784926
He4Scan 0.504120 9619.223256
He4Scan 0.504160 374.713021
He4Scan 0.504180 31.160056
He4Scan 0.504200 9.147095
He4Scan 0.504220 4.120279
He4Scan 0.504240 3.145222
He4Scan 0.504260 1.795302
He4Scan 0.504280 2.845224
He4Scan 0.504300 1.495345
He4Scan 0.504320 1.120411
He4Scan 0.504340 0.220628
He4Scan 0.504360 3.445230
He4Scan 0.504380 2.245255
He4Scan 0.504400 3.895257
He4Scan 0.504420 2.995222
He4Scan 0.504440 2.620232
He4Scan 0.504460 2.470239
He4Scan 0.504480 3.070222


He3Scan 0.392895 0.000000
He3Scan 0.392945 0.000000
He3Scan 0.392995 0.000000
He3Scan 0.393045 0.000000
He3Scan 0.393095 0.000000
He3Scan 0.393145 0.000000
He3Scan 0.393195 0.000000
He3Scan 0.393225 0.000000
He3Scan 0.393255 0.000000
He3Scan 0.393285 0.000000
He3Scan 0.393315 0.000000
He3Scan 0.393345 0.000000
He3Scan 0.393375 0.000000
He3Scan 0.393405 0.000000
He3Scan 0.393435 0.000000
He3Scan 0.393465 0.000000
He3Scan 0.393495 0.000000
He3Scan 0.393525 0.000000
He3Scan 0.393555 0.000000
He3Scan 0.393585 0.000000
He3Scan 0.393615 0.000000
He3Scan 0.393645 0.000000
He3Scan 0.393675 0.000000
He3Scan 0.393705 0.000000
He3Scan 0.393735 0.000000
He3Scan 0.393765 0.000000
He3Scan 0.393795 0.000000
He3Scan 0.393825 0.000000
He3Scan 0.393855 0.000000
He3Scan 0.393885 0.001222
He3Scan 0.393915 0.015891
He3Scan 0.393945 0.031171
He3Scan 0.393975 0.045839
He3Scan 0.394005 0.045228
He3Scan 0.394035 0.051340
He3Scan 0.394065 0.055619
He3Scan 0.394095 0.047673
He3Scan 0.394125 0.048284
He3Scan 0.394155 0.050729
He3Scan 0.394185 0.053174
He3Scan 0.394215 0.050729
He3Scan 0.394245 0.037283
He3Scan 0.394275 0.020169
He3Scan 0.394305 0.004889
He3Scan 0.394335 0.001834
He3Scan 0.394365 0.000611
He3Scan 0.394395 0.000000
He3Scan 0.394425 0.000000
He3Scan 0.394455 0.000000
He3Scan 0.394485 0.000000
He3Scan 0.394515 0.000000
He3Scan 0.394545 0.000000
He3Scan 0.394575 0.000000
He3Scan 0.394605 0.004889
He3Scan 0.394635 0.067232
He3Scan 0.394665 0.155249
He3Scan 0.394695 0.192536
He3Scan 0.394725 0.201705
He3Scan 0.394755 0.219432
He3Scan 0.394785 0.213319
He3Scan 0.394815 0.272615
He3Scan 0.394845 0.305015
He3Scan 0.394875 0.325188
He3Scan 0.394905 0.341083
He3Scan 0.394935 0.323354
He3Scan 0.394965 0.246329
He3Scan 0.394995 0.193759
He3Scan 0.395025 0.170531
He3Scan 0.395055 0.152804
He3Scan 0.395085 0.150970
He3Scan 0.395115 0.132022
He3Scan 0.395145 0.082512
He3Scan 0.395175 0.048284
He3Scan 0.395205 0.013446
He3Scan 0.395235 0.004278
He3Scan 0.395265 0.000611
He3Scan 0.395295 0.000611
He3Scan 0.395325 0.000000
He3Scan 0.395355 0.000000
He3Scan 0.395385 0.000000
He3Scan 0.395415 0.000000
He3Scan 0.395445 0.000000
He3Scan 0.395475 0.000000
He3Scan 0.395515 0.000000
He3Scan 0.395545 0.000000
He3Scan 0.395575 0.000000
He3Scan 0.395605 0.000000
He3Scan 0.395635 0.000000
He3Scan 0.395665 0.000000
He3Scan 0.395695 0.000611
He3Scan 0.395725 0.000000
He3Scan 0.395755 0.000000
He3Scan 0.395785 0.000000
He3Scan 0.395815 0.000000
He3Scan 0.395845 0.000000
He3Scan 0.395875 0.000000
He3Scan 0.395905 0.000000


== peak centers ==
He4 0.503890 0.000000
He3 0.394101 0.000000


== analysis data ==
He4 253.017472 68291.766509
He4 298.076049 68202.989426
He4 343.056622 68090.058045
He4 388.054195 67995.486551
He4 433.131773 67896.573407
He4 478.196351 67801.050756
He4 523.322932 67701.847481
He4 568.379509 67594.401870
He4 613.371083 67508.509789
He4 658.453661 67414.735865


He3 263.192054 0.054358
He3 269.329405 0.050462
He3 275.465755 0.051073
He3 281.647110 0.050156
He3 287.781460 0.050882
He3 308.204628 0.051875
He3 314.342979 0.050309
He3 320.496331 0.050996
He3 326.634682 0.047253
He3 332.764033 0.051378
He3 353.198202 0.051608
He3 359.336553 0.053709
He3 365.473904 0.054893
He3 371.634256 0.053097
He3 377.774608 0.053288
He3 398.179775 0.050462
He3 404.329126 0.052792
He3 410.466477 0.052715
He3 416.642830 0.048513
He3 422.791182 0.052219
He3 443.277354 0.050805
He3 449.403704 0.051531
He3 455.605059 0.052601
He3 461.743410 0.048628
He3 467.873761 0.050691
He3 488.346932 0.052906
He3 494.504284 0.048513
He3 500.676637 0.049354
He3 506.826989 0.049468
He3 512.974340 0.052486
He3 533.468513 0.049277
He3 539.600863 0.052410
He3 545.761216 0.049621
He3 551.913568 0.047673
He3 558.048919 0.049927
He3 578.518089 0.049507
He3 584.669441 0.049659
He3 590.809793 0.051264
He3 596.958144 0.049545
He3 603.079494 0.051837
He3 623.533664 0.053479
He3 629.667015 0.049392
He3 635.840368 0.049965
He3 641.999720 0.049659
He3 648.145072 0.051340
He3 668.594241 0.053403
He3 674.729592 0.050232
He3 680.888945 0.051569
He3 687.047297 0.051837
He3 693.201649 0.049659


== extrapolation results ==
He4 68843.448011 5.275716
He3 0.052191 0.001684


