== analysis info ==
RunID:20140314102604
AnalysisID:1
AnalysisName:Furnace-1x0.28
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:10:26:04
== counters ==
64 21.000000 0.000000
62 23.000000 0.000000


== scan data ==
He3 501.773700 0.052104
He3 507.915051 0.049659
He3 514.049402 0.048743
He3 534.476570 0.050118
He3 540.604921 0.053556
He3 546.734271 0.049889
He3 552.890624 0.049698
He3 559.018974 0.047940
He3 579.440142 0.050729
He3 585.572493 0.050576
He3 591.714844 0.049277
He3 597.859195 0.052906
He3 603.984546 0.050614
He3 624.412714 0.049850
He3 630.560066 0.048399
He3 636.680416 0.047864
He3 642.835768 0.049086
He3 648.987120 0.050576
He3 669.465291 0.048552
He3 675.630644 0.051531
He3 681.786996 0.048934
He3 687.922347 0.051646
He3 694.052697 0.048972


== extrapolation results ==
He4 68866.867444 13.186462
He3 0.052705 0.001295


