== analysis info ==
RunID:20140314155513
AnalysisID:1
AnalysisName:Furnace-1x0.28
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:15:55:13
== counters ==
64 21.000000 
62 28.000000 


== scan data ==
He4Scan 0.503280 3.745246 
He4Scan 0.503300 4.870388 
He4Scan 0.503320 3.595237 
He4Scan 0.503340 2.770226 
He4Scan 0.503360 5.245464 
He4Scan 0.503380 4.945402 
He4Scan 0.503400 5.095432 
He4Scan 0.503420 5.320481 
He4Scan 0.503440 4.570338 
He4Scan 0.503460 5.179825 
He4Scan 0.503480 5.545535 
He4Scan 0.503500 5.695574 
He4Scan 0.503520 6.970996 
He4Scan 0.503540 9.072049 
He4Scan 0.503560 11.323672 
He4Scan 0.503580 14.476805 
He4Scan 0.503600 36.125362 
He4Scan 0.503620 578.911469 
He4Scan 0.503640 13407.492725 
He4Scan 0.503660 47600.497584 
He4Scan 0.503680 65195.367635 
He4Scan 0.503700 68319.835214 
He4Scan 0.503720 68706.252426 
He4Scan 0.503740 68764.043222 
He4Scan 0.503760 68775.180607 
He4Scan 0.503780 68763.368319 
He4Scan 0.503800 68735.031676 
He4Scan 0.503820 68759.319116 
He4Scan 0.503840 68761.681106 
He4Scan 0.503860 68770.117812 
He4Scan 0.503880 68747.695287 
He4Scan 0.503900 68718.173236 
He4Scan 0.503920 68746.878572 
He4Scan 0.503940 68746.878572 
He4Scan 0.503960 68746.836407 
He4Scan 0.503980 68741.819012 
He4Scan 0.504000 68728.961898 
He4Scan 0.504020 68698.868285 
He4Scan 0.504040 67446.835701 
He4Scan 0.504060 50147.393448 
He4Scan 0.504080 21620.520614 
He4Scan 0.504100 3767.271127 
He4Scan 0.504120 591.966938 
He4Scan 0.504160 27.851234 
He4Scan 0.504180 6.595854 
He4Scan 0.504200 4.645349 
He4Scan 0.504220 2.620232 
He4Scan 0.504240 1.795302 
He4Scan 0.504260 2.095269 
He4Scan 0.504280 0.370587 
He4Scan 0.504300 1.495345 
He4Scan 0.504320 2.854599 
He4Scan 0.504340 2.245255 
He4Scan 0.504360 1.870293 
He4Scan 0.504380 1.570334 
He4Scan 0.504400 2.170262 
He4Scan 0.504420 2.770226 
He4Scan 0.504440 3.220223 
He4Scan 0.504460 2.170262 
He4Scan 0.504480 2.020276 


He3Scan 0.392889 0.000000 
He3Scan 0.392939 0.000000 
He3Scan 0.392989 0.000000 
He3Scan 0.393039 0.000000 
He3Scan 0.393089 0.000000 
He3Scan 0.393139 0.000000 
He3Scan 0.393189 0.000000 
He3Scan 0.393219 0.000000 
He3Scan 0.393249 0.000000 
He3Scan 0.393279 0.000000 
He3Scan 0.393309 0.000000 
He3Scan 0.393339 0.000000 
He3Scan 0.393369 0.000000 
He3Scan 0.393399 0.000000 
He3Scan 0.393429 0.000000 
He3Scan 0.393459 0.000000 
He3Scan 0.393489 0.000000 
He3Scan 0.393519 0.000000 
He3Scan 0.393549 0.000000 
He3Scan 0.393579 0.000000 
He3Scan 0.393609 0.000000 
He3Scan 0.393639 0.000000 
He3Scan 0.393669 0.000000 
He3Scan 0.393699 0.000000 
He3Scan 0.393729 0.000000 
He3Scan 0.393759 0.000000 
He3Scan 0.393789 0.000000 
He3Scan 0.393819 0.000000 
He3Scan 0.393849 0.000000 
He3Scan 0.393879 0.006112 
He3Scan 0.393909 0.032393 
He3Scan 0.393939 0.042172 
He3Scan 0.393969 0.053785 
He3Scan 0.393999 0.062342 
He3Scan 0.394029 0.059897 
He3Scan 0.394059 0.056230 
He3Scan 0.394089 0.057452 
He3Scan 0.394119 0.044006 
He3Scan 0.394149 0.057452 
He3Scan 0.394179 0.057452 
He3Scan 0.394209 0.029337 
He3Scan 0.394239 0.023836 
He3Scan 0.394269 0.009779 
He3Scan 0.394299 0.001834 
He3Scan 0.394329 0.000000 
He3Scan 0.394359 0.000000 
He3Scan 0.394389 0.000000 
He3Scan 0.394419 0.000000 
He3Scan 0.394449 0.000000 
He3Scan 0.394479 0.000000 
He3Scan 0.394509 0.000000 
He3Scan 0.394539 0.000000 
He3Scan 0.394569 0.000000 
He3Scan 0.394599 0.068454 
He3Scan 0.394629 0.126521 
He3Scan 0.394659 0.190091 
He3Scan 0.394689 0.204762 
He3Scan 0.394719 0.224934 
He3Scan 0.394749 0.217598 
He3Scan 0.394779 0.227990 
He3Scan 0.394809 0.303792 
He3Scan 0.394839 0.339249 
He3Scan 0.394869 0.353310 
He3Scan 0.394899 0.336804 
He3Scan 0.394929 0.268336 
He3Scan 0.394959 0.201705 
He3Scan 0.394989 0.175421 
He3Scan 0.395019 0.154027 
He3Scan 0.395049 0.129577 
He3Scan 0.395079 0.149748 
He3Scan 0.395109 0.115518 
He3Scan 0.395139 0.053785 
He3Scan 0.395169 0.023225 
He3Scan 0.395199 0.007334 
He3Scan 0.395229 0.003056 
He3Scan 0.395259 0.000611 
He3Scan 0.395289 0.000000 
He3Scan 0.395319 0.000000 
He3Scan 0.395349 0.000000 
He3Scan 0.395379 0.000000 
He3Scan 0.395409 0.000000 
He3Scan 0.395439 0.000000 
He3Scan 0.395469 0.000000 
He3Scan 0.395509 0.000000 
He3Scan 0.395539 0.000000 
He3Scan 0.395569 0.000000 
He3Scan 0.395599 0.000000 
He3Scan 0.395629 0.000000 
He3Scan 0.395659 0.000000 
He3Scan 0.395689 0.000000 
He3Scan 0.395719 0.000000 
He3Scan 0.395749 0.000000 
