== analysis info ==
RunID:20140314210314
AnalysisID:1
AnalysisName:Furnace-1x0.28
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:21:03:14
AnalysisTimeStamp:3477690194
== counters ==
64 27.000000 
62 31.000000 


== scan data ==
He4Scan 0.503200 2.695229 
He4Scan 0.503220 3.370227 
He4Scan 0.503240 3.754622 
He4Scan 0.503260 3.895257 
He4Scan 0.503280 3.595237 
He4Scan 0.503300 5.245464 
He4Scan 0.503320 5.245464 
He4Scan 0.503340 5.545535 
He4Scan 0.503360 5.104809 
He4Scan 0.503380 4.945402 
He4Scan 0.503400 5.245464 
He4Scan 0.503420 4.945402 
He4Scan 0.503440 7.046025 
He4Scan 0.503460 7.196087 
He4Scan 0.503480 9.747482 
He4Scan 0.503500 12.900113 
He4Scan 0.503520 16.654554 
He4Scan 0.503540 176.737235 
He4Scan 0.503560 3677.706807 
He4Scan 0.503580 33153.296321 
He4Scan 0.503600 59409.362225 
He4Scan 0.503620 66821.910808 
He4Scan 0.503640 68447.555639 
He4Scan 0.503660 68581.183929 
He4Scan 0.503680 68589.600617 
He4Scan 0.503700 68587.243783 
He4Scan 0.503720 68585.223739 
He4Scan 0.503740 68600.713100 
He4Scan 0.503760 68574.830392 
He4Scan 0.503780 68596.377215 
He4Scan 0.503800 68589.734140 
He4Scan 0.503820 68551.519259 
He4Scan 0.503840 68603.407456 
He4Scan 0.503860 68566.710975 
He4Scan 0.503880 68553.878214 
He4Scan 0.503900 68566.753041 
He4Scan 0.503920 68564.018856 
He4Scan 0.503940 68538.041933 
He4Scan 0.503960 68396.841123 
He4Scan 0.503980 64889.290539 
He4Scan 0.504000 33214.113994 
He4Scan 0.504020 8601.005491 
He4Scan 0.504040 1333.020902 
He4Scan 0.504080 64.837407 
He4Scan 0.504100 10.047689 
He4Scan 0.504120 5.254841 
He4Scan 0.504140 3.370227 
He4Scan 0.504160 2.554610 
He4Scan 0.504180 1.495345 
He4Scan 0.504200 3.070222 
He4Scan 0.504220 1.570334 
He4Scan 0.504240 1.795302 
