== analysis info ==
RunID:20140314183214
AnalysisID:1
AnalysisName:Furnace-1x0.28
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:18:32:14
AnalysisTimeStamp:3477681134
== counters ==
64 22.000000 
62 30.000000 


== scan data ==
He4Scan 0.503210 3.070222 
He4Scan 0.503230 3.445230 
He4Scan 0.503250 2.545235 
He4Scan 0.503270 2.695229 
He4Scan 0.503290 2.629606 
He4Scan 0.503310 4.120279 
He4Scan 0.503330 4.195287 
He4Scan 0.503350 3.520233 
He4Scan 0.503370 5.920636 
He4Scan 0.503390 4.495326 
He4Scan 0.503410 6.595854 
He4Scan 0.503430 5.470516 
He4Scan 0.503450 4.270296 
He4Scan 0.503470 7.271119 
He4Scan 0.503490 8.931339 
He4Scan 0.503510 10.573074 
He4Scan 0.503530 12.374605 
He4Scan 0.503550 23.340982 
He4Scan 0.503570 383.228144 
He4Scan 0.503590 8128.989132 
He4Scan 0.503610 39729.920138 
He4Scan 0.503630 62138.680448 
He4Scan 0.503650 67641.398033 
He4Scan 0.503670 68558.975671 
He4Scan 0.503690 68677.904040 
He4Scan 0.503710 68621.261714 
He4Scan 0.503730 68655.347993 
He4Scan 0.503750 68658.677975 
He4Scan 0.503770 68639.165321 
He4Scan 0.503790 68626.990080 
He4Scan 0.503810 68637.037572 
He4Scan 0.503830 68635.457626 
He4Scan 0.503850 68131.131980 
He4Scan 0.503870 68649.910966 
He4Scan 0.503890 68645.190989 
He4Scan 0.503910 68629.012033 
He4Scan 0.503930 68621.598657 
He4Scan 0.503950 68625.684284 
He4Scan 0.503970 68616.544794 
He4Scan 0.503990 68221.278677 
He4Scan 0.504010 59654.481335 
He4Scan 0.504030 26346.780100 
He4Scan 0.504050 6906.599126 
He4Scan 0.504090 212.867904 
He4Scan 0.504110 21.612596 
He4Scan 0.504130 8.096504 
He4Scan 0.504150 4.420316 
He4Scan 0.504170 3.745246 
He4Scan 0.504190 2.095269 
He4Scan 0.504210 1.345370 
He4Scan 0.504230 1.345370 
He4Scan 0.504250 0.895458 
He4Scan 0.504270 1.945284 
He4Scan 0.504290 0.520547 
He4Scan 0.504310 1.645323 
He4Scan 0.504330 1.945284 
He4Scan 0.504350 1.870293 
He4Scan 0.504370 2.995222 
He4Scan 0.504390 1.729686 
He4Scan 0.504410 1.579707 


He3Scan 0.392808 0.000000 
He3Scan 0.392858 0.000000 
He3Scan 0.392908 0.000000 
He3Scan 0.392958 0.000000 
He3Scan 0.393008 0.000000 
He3Scan 0.393058 0.000000 
He3Scan 0.393108 0.000000 
He3Scan 0.393138 0.000000 
He3Scan 0.393168 0.000000 
He3Scan 0.393198 0.000611 
He3Scan 0.393228 0.000000 
He3Scan 0.393258 0.000000 
He3Scan 0.393288 0.000000 
He3Scan 0.393318 0.000000 
He3Scan 0.393348 0.000000 
He3Scan 0.393378 0.000000 
He3Scan 0.393408 0.000000 
He3Scan 0.393438 0.000000 
He3Scan 0.393468 0.000000 
He3Scan 0.393498 0.000000 
He3Scan 0.393528 0.000000 
He3Scan 0.393558 0.000000 
He3Scan 0.393588 0.000000 
He3Scan 0.393618 0.000000 
He3Scan 0.393648 0.000000 
He3Scan 0.393678 0.000000 
He3Scan 0.393708 0.000000 
He3Scan 0.393738 0.000000 
He3Scan 0.393768 0.000000 
He3Scan 0.393798 0.000000 
He3Scan 0.393828 0.006112 
He3Scan 0.393858 0.022614 
He3Scan 0.393888 0.048895 
He3Scan 0.393918 0.050118 
He3Scan 0.393948 0.050729 
He3Scan 0.393978 0.058675 
He3Scan 0.394008 0.058064 
He3Scan 0.394038 0.049507 
He3Scan 0.394068 0.042783 
He3Scan 0.394098 0.052563 
He3Scan 0.394128 0.051951 
He3Scan 0.394158 0.036060 
He3Scan 0.394188 0.016502 
He3Scan 0.394218 0.003056 
He3Scan 0.394248 0.003056 
He3Scan 0.394278 0.001222 
He3Scan 0.394308 0.000000 
He3Scan 0.394338 0.000000 
He3Scan 0.394368 0.000000 
He3Scan 0.394398 0.000000 
He3Scan 0.394428 0.000000 
He3Scan 0.394458 0.000000 
He3Scan 0.394488 0.000611 
He3Scan 0.394518 0.003056 
He3Scan 0.394548 0.052563 
He3Scan 0.394578 0.139968 
He3Scan 0.394608 0.186423 
He3Scan 0.394638 0.198038 
He3Scan 0.394668 0.204762 
He3Scan 0.394698 0.221266 
He3Scan 0.394728 0.228602 
He3Scan 0.394758 0.283007 
He3Scan 0.394788 0.310516 
He3Scan 0.394818 0.333747 
He3Scan 0.394848 0.346585 
He3Scan 0.394878 0.283618 
He3Scan 0.394908 0.233492 
He3Scan 0.394938 0.168086 
He3Scan 0.394968 0.137523 
He3Scan 0.394998 0.136301 
He3Scan 0.395028 0.146080 
He3Scan 0.395058 0.098404 
He3Scan 0.395088 0.067232 
He3Scan 0.395118 0.025059 
He3Scan 0.395148 0.010390 
He3Scan 0.395178 0.002445 
He3Scan 0.395208 0.000611 
He3Scan 0.395238 0.000000 
He3Scan 0.395268 0.000611 
He3Scan 0.395298 0.000000 
He3Scan 0.395328 0.000000 
He3Scan 0.395358 0.000000 
He3Scan 0.395388 0.000000 
He3Scan 0.395428 0.000000 
He3Scan 0.395458 0.000000 
He3Scan 0.395488 0.000000 
He3Scan 0.395518 0.000000 
He3Scan 0.395548 0.000000 
He3Scan 0.395578 0.000000 
He3Scan 0.395608 0.000000 
He3Scan 0.395638 0.000000 
He3Scan 0.395668 0.000000 
He3Scan 0.395698 0.000000 
He3Scan 0.395728 0.000000 
He3Scan 0.395758 0.000000 
He3Scan 0.395788 0.000000 
He3Scan 0.395818 0.000000 


== peak centers ==
He4 0.503820 
He3 0.394014 


== analysis data ==
He4 267.961327 68215.590440 
He4 350.867068 68039.666331 
He4 433.762810 67868.694227 
He4 516.634550 67702.590627 
He4 599.285277 67531.031806 
He4 682.208020 67362.761194 
He4 765.237769 67194.966473 
He4 848.148511 67023.605869 
He4 931.047253 66851.030185 
He4 1013.965996 66690.954288 


He3 278.712942 0.051187 
He3 285.506330 0.051990 
He3 292.255716 0.051608 
He3 299.075106 0.049889 
He3 305.898497 0.051799 
He3 312.688885 0.050309 
He3 319.494274 0.049889 
He3 326.296663 0.050767 
He3 333.134054 0.050347 
He3 339.906442 0.049239 
He3 361.586682 0.048819 
He3 368.356069 0.051531 
He3 375.134457 0.049277 
He3 381.947846 0.051760 
He3 388.775237 0.049430 
He3 395.591627 0.052257 
He3 402.371015 0.051378 
He3 409.162403 0.049277 
He3 416.008794 0.049468 
He3 422.820184 0.049659 
He3 444.420420 0.049659 
He3 451.214808 0.047291 
He3 458.086201 0.051264 
He3 464.810585 0.053174 
He3 471.610975 0.050156 
He3 478.469367 0.049621 
He3 485.260756 0.051378 
He3 492.047143 0.051531 
He3 498.870534 0.051875 
He3 505.655922 0.050118 
He3 527.275158 0.049774 
He3 534.055546 0.052486 
He3 540.683926 0.050538 
He3 547.488315 0.050385 
He3 554.320705 0.049392 
He3 561.135095 0.050576 
He3 567.912483 0.049736 
He3 574.733873 0.050958 
He3 581.548263 0.050920 
He3 588.369653 0.048475 
He3 609.953887 0.047673 
He3 616.752276 0.048322 
He3 623.557666 0.049201 
He3 630.365055 0.048552 
He3 637.166444 0.050805 
He3 644.001835 0.051149 
He3 650.787223 0.049621 
He3 657.620614 0.047979 
He3 664.383000 0.051493 
He3 671.205391 0.050462 
He3 693.026639 0.051990 
He3 699.820027 0.048208 
He3 706.611416 0.051187 
He3 713.428806 0.051875 
He3 720.233195 0.049965 
He3 727.107588 0.050194 
He3 733.859974 0.049545 
He3 740.656363 0.050080 
He3 747.468753 0.050423 
He3 754.297143 0.050920 
He3 775.891378 0.048628 
He3 782.696768 0.050462 
He3 789.529159 0.047520 
He3 796.351549 0.049545 
He3 803.192940 0.048857 
He3 809.978328 0.051875 
He3 816.780717 0.050347 
He3 823.602108 0.051455 
He3 830.420497 0.047826 
He3 837.206886 0.052066 
He3 858.803121 0.049965 
He3 865.609510 0.048743 
He3 872.432900 0.050232 
He3 879.223289 0.049583 
He3 886.043679 0.048895 
He3 892.872069 0.050194 
He3 899.686459 0.051378 
He3 906.449846 0.049927 
He3 913.314239 0.050347 
He3 920.072625 0.049812 
He3 941.744865 0.049965 
He3 948.504251 0.050118 
He3 955.309641 0.052257 
He3 962.116030 0.050347 
He3 968.929420 0.048819 
He3 975.722808 0.049774 
He3 982.539198 0.048055 
He3 989.341587 0.050844 
He3 996.142976 0.049316 
He3 1002.961366 0.046909 
He3 1024.770614 0.050691 
He3 1031.585003 0.046833 
He3 1038.389392 0.049850 
He3 1045.197782 0.051760 
He3 1052.006171 0.049086 
He3 1058.807560 0.050920 
He3 1065.618950 0.050003 
He3 1072.442340 0.050232 
He3 1079.254730 0.050576 
He3 1086.046118 0.051722 


== extrapolation results ==
He4 68758.350860 2.983800 5.633632 
