== analysis info ==
RunID:20140315002158
AnalysisID:1
AnalysisName:Furnace-3x0.06
AnalysisType:air
AnalysisDate:2014-03-15
AnalysisTime:00:21:58
AnalysisTimeStamp:3477702118
== counters ==
64 33.000000 
62 32.000000 


== scan data ==
He4Scan 0.503180 1.279757 
He4Scan 0.503200 1.870293 
He4Scan 0.503220 0.895458 
He4Scan 0.503240 1.195397 
He4Scan 0.503260 2.695229 
He4Scan 0.503280 3.370227 
He4Scan 0.503300 3.745246 
He4Scan 0.503320 3.670241 
He4Scan 0.503340 4.354682 
He4Scan 0.503360 2.395244 
He4Scan 0.503380 3.520233 
He4Scan 0.503400 4.195287 
He4Scan 0.503420 3.145222 
He4Scan 0.503440 3.829627 
He4Scan 0.503460 5.170448 
He4Scan 0.503480 6.670881 
He4Scan 0.503500 9.372236 
He4Scan 0.503520 182.874693 
He4Scan 0.503540 3899.390074 
He4Scan 0.503560 21626.350290 
He4Scan 0.503580 37919.149025 
He4Scan 0.503600 41342.528368 
He4Scan 0.503620 41688.503071 
He4Scan 0.503640 41742.373768 
He4Scan 0.503660 41783.895104 
He4Scan 0.503680 41774.037514 
He4Scan 0.503700 41776.618959 
He4Scan 0.503720 41800.096570 
He4Scan 0.503740 41787.885978 
He4Scan 0.503760 41782.486683 
He4Scan 0.503780 41795.018019 
He4Scan 0.503800 41730.420383 
He4Scan 0.503820 41784.834086 
He4Scan 0.503840 41725.265454 
He4Scan 0.503860 41769.579165 
He4Scan 0.503880 41753.657571 
He4Scan 0.503900 41776.618959 
He4Scan 0.503920 41723.625430 
He4Scan 0.503940 41602.773555 
He4Scan 0.503960 37531.471307 
He4Scan 0.503980 20125.127801 
He4Scan 0.504000 4342.214050 
He4Scan 0.504020 754.411499 
He4Scan 0.504060 34.996665 
He4Scan 0.504080 3.820251 
He4Scan 0.504100 -0.004304 
He4Scan 0.504120 1.045426 
He4Scan 0.504140 -0.229232 
He4Scan 0.504160 1.654696 
He4Scan 0.504180 0.370587 
He4Scan 0.504200 -1.053924 
He4Scan 0.504220 0.445567 
He4Scan 0.504240 0.070673 
He4Scan 0.504260 1.795302 
He4Scan 0.504280 0.445567 
He4Scan 0.504300 0.220628 
He4Scan 0.504320 1.129785 
He4Scan 0.504340 1.345370 
He4Scan 0.504360 1.195397 
He4Scan 0.504380 1.345370 


He3Scan 0.392784 0.000611 
He3Scan 0.392834 0.000000 
He3Scan 0.392884 0.000000 
He3Scan 0.392934 0.000000 
He3Scan 0.392984 0.000000 
He3Scan 0.393034 0.000000 
He3Scan 0.393084 0.000000 
He3Scan 0.393114 0.000000 
He3Scan 0.393144 0.000000 
He3Scan 0.393174 0.000000 
He3Scan 0.393204 0.000000 
He3Scan 0.393234 0.000000 
He3Scan 0.393264 0.000000 
He3Scan 0.393294 0.000000 
He3Scan 0.393324 0.000000 
He3Scan 0.393354 0.000000 
He3Scan 0.393384 0.000000 
He3Scan 0.393414 0.000000 
He3Scan 0.393444 0.000000 
He3Scan 0.393474 0.000000 
He3Scan 0.393504 0.000000 
He3Scan 0.393534 0.000000 
He3Scan 0.393564 0.000000 
He3Scan 0.393594 0.000000 
He3Scan 0.393624 0.000000 
He3Scan 0.393654 0.000000 
He3Scan 0.393684 0.000000 
He3Scan 0.393714 0.000000 
He3Scan 0.393744 0.000000 
He3Scan 0.393774 0.003056 
He3Scan 0.393804 0.013446 
He3Scan 0.393834 0.018947 
He3Scan 0.393864 0.024447 
He3Scan 0.393894 0.028115 
He3Scan 0.393924 0.023836 
He3Scan 0.393954 0.025670 
He3Scan 0.393984 0.040950 
He3Scan 0.394014 0.030559 
He3Scan 0.394044 0.028115 
He3Scan 0.394074 0.029337 
He3Scan 0.394104 0.014668 
He3Scan 0.394134 0.009168 
He3Scan 0.394164 0.004889 
He3Scan 0.394194 0.000000 
He3Scan 0.394224 0.000611 
He3Scan 0.394254 0.000611 
He3Scan 0.394284 0.000000 
He3Scan 0.394314 0.000000 
He3Scan 0.394344 0.000000 
He3Scan 0.394374 0.000000 
He3Scan 0.394404 0.000000 
