== analysis info ==
RunID:20140314232529
AnalysisID:1
AnalysisName:Furnace-1x0.28
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:23:25:29
AnalysisTimeStamp:3477698729
== counters ==
64 30.000000 
62 32.000000 


== scan data ==
He4Scan 0.503170 2.995222 
He4Scan 0.503190 2.545235 
He4Scan 0.503210 4.045271 
He4Scan 0.503230 3.370227 
He4Scan 0.503250 3.220223 
He4Scan 0.503270 5.320481 
He4Scan 0.503290 3.220223 
He4Scan 0.503310 4.279672 
He4Scan 0.503330 4.270296 
He4Scan 0.503350 4.795375 
He4Scan 0.503370 5.170448 
He4Scan 0.503390 6.220727 
He4Scan 0.503410 5.770594 
He4Scan 0.503430 6.970996 
He4Scan 0.503450 9.081429 
He4Scan 0.503470 10.873306 
He4Scan 0.503490 13.050263 
He4Scan 0.503510 19.893903 
He4Scan 0.503530 283.120586 
He4Scan 0.503550 6458.129390 
He4Scan 0.503570 43276.143434 
He4Scan 0.503590 62829.251991 
He4Scan 0.503610 67724.354599 
He4Scan 0.503630 68473.744355 
He4Scan 0.503650 68503.020122 
He4Scan 0.503670 68537.368175 
He4Scan 0.503690 68518.507112 
He4Scan 0.503710 68547.812584 
He4Scan 0.503730 68530.631156 
He4Scan 0.503750 68519.854064 
He4Scan 0.503770 68505.692081 
He4Scan 0.503790 68505.039856 
He4Scan 0.503810 68484.552255 
He4Scan 0.503830 68511.099613 
He4Scan 0.503850 68519.517322 
He4Scan 0.503870 68524.568718 
He4Scan 0.503890 68489.557588 
He4Scan 0.503910 68500.369361 
He4Scan 0.503930 68480.851197 
He4Scan 0.503950 67956.874697 
He4Scan 0.503970 62626.573512 
He4Scan 0.503990 27378.754631 
He4Scan 0.504010 7233.647633 
He4Scan 0.504050 297.562016 
He4Scan 0.504070 29.204709 
He4Scan 0.504090 10.347906 
He4Scan 0.504110 6.220727 
He4Scan 0.504130 2.770226 
He4Scan 0.504150 2.779601 
He4Scan 0.504170 2.395244 
He4Scan 0.504190 2.095269 
He4Scan 0.504210 1.504719 
He4Scan 0.504230 -0.079281 
He4Scan 0.504250 3.004597 
He4Scan 0.504270 2.920223 
He4Scan 0.504290 2.170262 
He4Scan 0.504310 3.370227 
He4Scan 0.504330 2.695229 
He4Scan 0.504350 3.445230 
He4Scan 0.504370 2.320249 


He3Scan 0.392767 0.000000 
He3Scan 0.392817 0.000000 
He3Scan 0.392867 0.000000 
He3Scan 0.392917 0.000000 
He3Scan 0.392967 0.000000 
He3Scan 0.393017 0.000000 
He3Scan 0.393067 0.000000 
He3Scan 0.393097 0.000000 
He3Scan 0.393127 0.000000 
He3Scan 0.393157 0.000000 
He3Scan 0.393187 0.000000 
He3Scan 0.393217 0.000000 
He3Scan 0.393247 0.000000 
He3Scan 0.393277 0.000000 
He3Scan 0.393307 0.000000 
He3Scan 0.393337 0.000000 
He3Scan 0.393367 0.000000 
He3Scan 0.393397 0.000000 
He3Scan 0.393427 0.000000 
He3Scan 0.393457 0.000000 
He3Scan 0.393487 0.000000 
He3Scan 0.393517 0.000000 
He3Scan 0.393547 0.000000 
He3Scan 0.393577 0.000000 
He3Scan 0.393607 0.000000 
He3Scan 0.393637 0.000611 
He3Scan 0.393667 0.000000 
He3Scan 0.393697 0.000000 
He3Scan 0.393727 0.000611 
He3Scan 0.393757 0.000000 
He3Scan 0.393787 0.006723 
He3Scan 0.393817 0.031171 
He3Scan 0.393847 0.036671 
He3Scan 0.393877 0.047673 
He3Scan 0.393907 0.044617 
He3Scan 0.393937 0.060508 
He3Scan 0.393967 0.054396 
He3Scan 0.393997 0.044006 
He3Scan 0.394027 0.050118 
He3Scan 0.394057 0.058064 
He3Scan 0.394087 0.060508 
He3Scan 0.394117 0.033615 
He3Scan 0.394147 0.020780 
He3Scan 0.394177 0.009779 
He3Scan 0.394207 0.003667 
He3Scan 0.394237 0.000611 
He3Scan 0.394267 0.000000 
He3Scan 0.394297 0.000000 
He3Scan 0.394327 0.000000 
He3Scan 0.394357 0.000000 
He3Scan 0.394387 0.000000 
He3Scan 0.394417 0.000000 
He3Scan 0.394447 0.000000 
He3Scan 0.394477 0.001222 
He3Scan 0.394507 0.048895 
He3Scan 0.394537 0.147914 
He3Scan 0.394567 0.172976 
He3Scan 0.394597 0.193147 
He3Scan 0.394627 0.205373 
He3Scan 0.394657 0.212097 
He3Scan 0.394687 0.216987 
He3Scan 0.394717 0.286064 
He3Scan 0.394747 0.327022 
He3Scan 0.394777 0.332524 
He3Scan 0.394807 0.327022 
He3Scan 0.394837 0.253665 
He3Scan 0.394867 0.199260 
He3Scan 0.394897 0.162584 
He3Scan 0.394927 0.143635 
He3Scan 0.394957 0.143635 
He3Scan 0.394987 0.132633 
He3Scan 0.395017 0.088013 
He3Scan 0.395047 0.048284 
He3Scan 0.395077 0.018336 
He3Scan 0.395107 0.007945 
He3Scan 0.395137 0.003667 
He3Scan 0.395167 0.000611 
He3Scan 0.395197 0.000000 
He3Scan 0.395227 0.000000 
He3Scan 0.395257 0.000000 
He3Scan 0.395287 0.000000 
He3Scan 0.395317 0.000000 
He3Scan 0.395347 0.000000 
He3Scan 0.395387 0.000000 
He3Scan 0.395417 0.000000 
He3Scan 0.395447 0.000000 
He3Scan 0.395477 0.000000 
He3Scan 0.395507 0.000000 
He3Scan 0.395537 0.000000 
He3Scan 0.395567 0.000611 
He3Scan 0.395597 0.000000 
He3Scan 0.395627 0.000000 
He3Scan 0.395657 0.000000 
He3Scan 0.395687 0.000000 
He3Scan 0.395717 0.000000 
He3Scan 0.395747 0.000000 
He3Scan 0.395777 0.000000 


== peak centers ==
He4 0.503780 
He3 0.393984 


== analysis data ==
He4 267.796317 68097.201565 
He4 350.642056 67919.224227 
He4 433.463793 67747.600755 
He4 516.286530 67572.075392 
He4 598.753247 67401.821618 
He4 681.562983 67228.769545 
He4 764.396721 67058.125537 
He4 846.826436 66892.016444 
He4 929.876186 66728.382060 
He4 1012.835931 66575.871103 


He3 278.509930 0.050271 
He3 285.296318 0.048361 
He3 292.092707 0.052524 
He3 298.892096 0.050309 
He3 305.692484 0.051990 
He3 312.507874 0.050920 
He3 319.295263 0.052792 
He3 326.095652 0.050385 
He3 332.892040 0.051226 
He3 339.689429 0.050232 
He3 361.316666 0.051111 
He3 368.113055 0.051684 
He3 374.902443 0.049850 
He3 381.707832 0.052486 
He3 388.518222 0.050729 
He3 395.327611 0.051531 
He3 402.105999 0.047291 
He3 408.928390 0.051799 
He3 415.716778 0.048513 
He3 422.520167 0.050080 
He3 444.126402 0.050920 
He3 450.946793 0.051493 
He3 457.709179 0.049468 
He3 464.512568 0.048475 
He3 471.327959 0.049812 
He3 478.145349 0.049010 
He3 484.930737 0.051722 
He3 491.736125 0.053097 
He3 498.554516 0.050920 
He3 505.343904 0.050118 
He3 526.918138 0.049736 
He3 533.534516 0.050882 
He3 540.338906 0.052410 
He3 547.127294 0.050080 
He3 553.744672 0.050538 
He3 560.547061 0.048361 
He3 567.363451 0.052028 
He3 574.153840 0.050194 
He3 581.001231 0.048475 
He3 587.769619 0.051569 
He3 609.369854 0.050118 
He3 616.176243 0.050423 
He3 623.033636 0.049621 
He3 629.813023 0.047558 
He3 636.598412 0.051951 
He3 643.374799 0.048055 
He3 650.179188 0.051837 
He3 656.989578 0.049048 
He3 663.777966 0.047673 
He3 670.579355 0.049545 
He3 692.185591 0.050423 
He3 699.026982 0.052257 
He3 705.791369 0.048513 
He3 712.589758 0.051531 
He3 719.423149 0.050653 
He3 726.198536 0.051760 
He3 733.000925 0.049277 
He3 739.822316 0.048819 
He3 746.596703 0.051111 
He3 753.409092 0.048972 
He3 775.014328 0.048781 
He3 781.881721 0.049545 
He3 788.608106 0.049086 
He3 795.221484 0.048666 
He3 802.079876 0.050041 
He3 808.850264 0.047444 
He3 815.627651 0.049163 
He3 822.427040 0.049927 
He3 829.234429 0.049086 
He3 836.024818 0.046756 
He3 857.656055 0.051493 
He3 864.438443 0.049850 
He3 871.236832 0.049889 
He3 878.045221 0.049698 
He3 884.851611 0.049889 
He3 891.645999 0.050996 
He3 898.463389 0.049086 
He3 905.255778 0.052983 
He3 912.108170 0.048704 
He3 918.850555 0.048628 
He3 940.685804 0.049392 
He3 947.452191 0.051111 
He3 954.278582 0.048322 
He3 961.058969 0.050080 
He3 967.857358 0.048552 
He3 974.695749 0.051073 
He3 981.463137 0.050232 
He3 988.260525 0.047597 
He3 995.061914 0.049163 
He3 1001.936307 0.049468 
He3 1023.460538 0.049698 
He3 1030.068917 0.047826 
He3 1036.736298 0.049889 
He3 1043.509686 0.049048 
He3 1050.306074 0.049468 
He3 1057.118464 0.048628 
He3 1063.730842 0.049583 
He3 1070.529231 0.048972 
He3 1077.329620 0.046030 
He3 1084.163011 0.048590 


== extrapolation results ==
He4 68636.014342 8.414340 15.894828 
He3 0.051596 0.001330 0.000676 


