== analysis info ==
RunID:20140314223759
AnalysisID:1
AnalysisName:Furnace-2x0.06
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:22:37:59
AnalysisTimeStamp:3477695879
== counters ==
64 30.000000 
62 31.000000 


== scan data ==
He4Scan 0.503180 0.595528 
He4Scan 0.503200 -0.079281 
He4Scan 0.503220 1.420357 
He4Scan 0.503240 0.520547 
He4Scan 0.503260 2.395244 
He4Scan 0.503280 2.170262 
He4Scan 0.503300 2.620232 
He4Scan 0.503320 1.195397 
He4Scan 0.503340 2.020276 
He4Scan 0.503360 1.804676 
He4Scan 0.503380 1.195397 
He4Scan 0.503400 0.754865 
He4Scan 0.503420 1.045426 
He4Scan 0.503440 2.629606 
He4Scan 0.503460 2.020276 
He4Scan 0.503480 2.920223 
He4Scan 0.503500 3.979640 
He4Scan 0.503520 44.632344 
He4Scan 0.503540 1095.083383 
He4Scan 0.503560 9751.942060 
He4Scan 0.503580 21797.543903 
He4Scan 0.503600 26508.658545 
He4Scan 0.503620 27062.519558 
He4Scan 0.503640 27156.142895 
He4Scan 0.503660 27161.872474 
He4Scan 0.503680 27156.142895 
He4Scan 0.503700 27155.449174 
He4Scan 0.503720 27167.424337 
He4Scan 0.503740 27160.977135 
He4Scan 0.503760 27172.820752 
He4Scan 0.503780 27153.222691 
He4Scan 0.503800 27146.477402 
He4Scan 0.503820 27150.056750 
He4Scan 0.503840 27147.372188 
He4Scan 0.503860 27153.099626 
He4Scan 0.503880 27155.247775 
He4Scan 0.503900 27158.649414 
He4Scan 0.503920 27156.500953 
He4Scan 0.503940 27113.751691 
He4Scan 0.503960 26381.403633 
He4Scan 0.503980 19182.140884 
He4Scan 0.504000 6092.736373 
He4Scan 0.504020 1317.810929 
He4Scan 0.504060 56.916343 
He4Scan 0.504080 2.770226 
He4Scan 0.504100 0.595528 
He4Scan 0.504120 -0.903985 
He4Scan 0.504140 0.895458 
He4Scan 0.504160 -1.128893 
He4Scan 0.504180 -0.304207 
He4Scan 0.504200 -0.679073 
He4Scan 0.504220 0.145650 
He4Scan 0.504240 -0.144885 
He4Scan 0.504260 -0.679073 
He4Scan 0.504280 0.145650 
He4Scan 0.504300 -0.978955 
He4Scan 0.504320 0.595528 
He4Scan 0.504340 0.529920 
He4Scan 0.504360 -0.304207 
He4Scan 0.504380 0.820475 


He3Scan 0.392765 0.000000 
He3Scan 0.392815 0.000000 
He3Scan 0.392865 0.000000 
He3Scan 0.392915 0.000000 
He3Scan 0.392965 0.000000 
He3Scan 0.393015 0.000000 
He3Scan 0.393065 0.000000 
He3Scan 0.393095 0.000000 
He3Scan 0.393125 0.000000 
He3Scan 0.393155 0.000000 
He3Scan 0.393185 0.000000 
He3Scan 0.393215 0.000000 
He3Scan 0.393245 0.000000 
He3Scan 0.393275 0.000000 
He3Scan 0.393305 0.000000 
He3Scan 0.393335 0.000000 
He3Scan 0.393365 0.000000 
He3Scan 0.393395 0.000000 
He3Scan 0.393425 0.000000 
He3Scan 0.393455 0.000000 
He3Scan 0.393485 0.000000 
He3Scan 0.393515 0.000000 
He3Scan 0.393545 0.000000 
He3Scan 0.393575 0.000000 
He3Scan 0.393605 0.000000 
