== analysis info ==
RunID:20140314114832
AnalysisID:1
AnalysisName:Furnace-1x0.28
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:11:48:32
== counters ==
64 21.000000 0.000000
62 25.000000 0.000000


== scan data ==
He4Scan 0.503290 2.395244
He4Scan 0.503310 1.945284
He4Scan 0.503330 2.095269
He4Scan 0.503350 3.220223
He4Scan 0.503370 4.195287
He4Scan 0.503390 4.270296
He4Scan 0.503410 3.295225
He4Scan 0.503430 5.845615
He4Scan 0.503450 5.620554
He4Scan 0.503470 4.495326
He4Scan 0.503490 6.070681
He4Scan 0.503510 5.620554
He4Scan 0.503530 6.520828
He4Scan 0.503550 6.820937
He4Scan 0.503570 8.471702
He4Scan 0.503590 10.723189
He4Scan 0.503610 14.251548
He4Scan 0.503630 47.193396
He4Scan 0.503650 745.175843
He4Scan 0.503670 14032.323007
He4Scan 0.503690 48454.197737
He4Scan 0.503710 65224.866828
He4Scan 0.503730 68387.381433
He4Scan 0.503750 68741.439568
He4Scan 0.503770 68773.197610
He4Scan 0.503790 68760.668809
He4Scan 0.503810 68772.480378
He4Scan 0.503830 68793.453674
He4Scan 0.503850 68768.430342
He4Scan 0.503870 68757.632058
He4Scan 0.503890 68761.434215
He4Scan 0.503910 68759.656536
He4Scan 0.503930 68755.312458
He4Scan 0.503950 68772.860088
He4Scan 0.503970 68750.884467
He4Scan 0.503990 68767.755372
He4Scan 0.504010 68747.173731
He4Scan 0.504030 68759.361294
He4Scan 0.504050 68699.163627
He4Scan 0.504070 67924.687514
He4Scan 0.504090 49495.531763
He4Scan 0.504110 20508.626179
He4Scan 0.504130 4732.639541
He4Scan 0.504170 161.447892
He4Scan 0.504190 15.903552
He4Scan 0.504210 6.745909
He4Scan 0.504230 4.645349
He4Scan 0.504250 2.545235
He4Scan 0.504270 2.845224
He4Scan 0.504290 1.045426
He4Scan 0.504310 1.345370
He4Scan 0.504330 1.195397
He4Scan 0.504350 1.945284
He4Scan 0.504370 0.895458
He4Scan 0.504390 0.145650
He4Scan 0.504410 2.620232
He4Scan 0.504430 2.095269
He4Scan 0.504450 2.770226
He4Scan 0.504470 2.470239
He4Scan 0.504490 2.545235


He3Scan 0.392901 0.000000
He3Scan 0.392951 0.000000
He3Scan 0.393001 0.000000
He3Scan 0.393051 0.000000
He3Scan 0.393101 0.000000
He3Scan 0.393151 0.000611
He3Scan 0.393201 0.000000
He3Scan 0.393231 0.000000
He3Scan 0.393261 0.000000
He3Scan 0.393291 0.000000
He3Scan 0.393321 0.000000
He3Scan 0.393351 0.000000
He3Scan 0.393381 0.000000
He3Scan 0.393411 0.000000
He3Scan 0.393441 0.000000
He3Scan 0.393471 0.000000
He3Scan 0.393501 0.000000
He3Scan 0.393531 0.000000
He3Scan 0.393561 0.000000
He3Scan 0.393591 0.000000
He3Scan 0.393621 0.000000
He3Scan 0.393651 0.000000
He3Scan 0.393681 0.000000
He3Scan 0.393711 0.000000
He3Scan 0.393741 0.000000
He3Scan 0.393771 0.000000
He3Scan 0.393801 0.000000
He3Scan 0.393831 0.000000
He3Scan 0.393861 0.000000
He3Scan 0.393891 0.000000
He3Scan 0.393921 0.014668
He3Scan 0.393951 0.024447
He3Scan 0.393981 0.044006
He3Scan 0.394011 0.056230
He3Scan 0.394041 0.052563
He3Scan 0.394071 0.052563
He3Scan 0.394101 0.059897
He3Scan 0.394131 0.055619
He3Scan 0.394161 0.047673
He3Scan 0.394191 0.050729
He3Scan 0.394221 0.053174
He3Scan 0.394251 0.025670
He3Scan 0.394281 0.012224
