== analysis info ==
RunID:20140314201459
AnalysisID:1
AnalysisName:Furnace-3x0.06
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:20:14:59
AnalysisTimeStamp:3477687299
== counters ==
64 27.000000 
62 30.000000 


== scan data ==
He4Scan 0.503210 0.670510 
He4Scan 0.503230 -0.903985 
He4Scan 0.503250 0.445567 
He4Scan 0.503270 1.570334 
He4Scan 0.503290 4.120279 
He4Scan 0.503310 4.795375 
He4Scan 0.503330 3.445230 
He4Scan 0.503350 3.445230 
He4Scan 0.503370 4.804751 
He4Scan 0.503390 3.370227 
He4Scan 0.503410 4.204663 
He4Scan 0.503430 4.345306 
He4Scan 0.503450 4.420316 
He4Scan 0.503470 5.620554 
He4Scan 0.503490 5.920636 
He4Scan 0.503510 6.895966 
He4Scan 0.503530 13.275493 
He4Scan 0.503550 217.420764 
He4Scan 0.503570 7549.609549 
He4Scan 0.503590 26808.736002 
He4Scan 0.503610 38641.119919 
He4Scan 0.503630 41369.842770 
He4Scan 0.503650 41767.027637 
He4Scan 0.503670 41793.990669 
He4Scan 0.503690 41789.764216 
He4Scan 0.503710 41814.191733 
He4Scan 0.503730 41823.827138 
He4Scan 0.503750 41758.553390 
He4Scan 0.503770 41793.051407 
He4Scan 0.503790 41786.242614 
He4Scan 0.503810 41790.453910 
He4Scan 0.503830 41834.975840 
He4Scan 0.503850 41786.477375 
He4Scan 0.503870 41779.670036 
He4Scan 0.503890 41750.345272 
He4Scan 0.503910 41767.702158 
He4Scan 0.503930 41809.492629 
He4Scan 0.503950 41798.922264 
He4Scan 0.503970 41596.224029 
He4Scan 0.503990 36006.266688 
He4Scan 0.504010 17712.852550 
He4Scan 0.504030 4167.160747 
He4Scan 0.504050 621.886486 
He4Scan 0.504090 18.607426 
He4Scan 0.504110 2.395244 
He4Scan 0.504130 1.495345 
He4Scan 0.504150 -0.679073 
He4Scan 0.504170 0.745492 
He4Scan 0.504190 -0.004304 
He4Scan 0.504210 -0.229232 
He4Scan 0.504230 -1.203861 
He4Scan 0.504250 -0.304207 
He4Scan 0.504270 -0.079281 
He4Scan 0.504290 -0.304207 
He4Scan 0.504310 0.220628 
He4Scan 0.504330 1.270383 
He4Scan 0.504350 -0.079281 
He4Scan 0.504370 1.645323 
He4Scan 0.504390 0.145650 
He4Scan 0.504410 1.720312 


He3Scan 0.392814 0.000000 
He3Scan 0.392864 0.000000 
He3Scan 0.392914 0.000000 
He3Scan 0.392964 0.000000 
He3Scan 0.393014 0.000000 
He3Scan 0.393064 0.000000 
He3Scan 0.393114 0.000000 
He3Scan 0.393144 0.000000 
He3Scan 0.393174 0.000000 
He3Scan 0.393204 0.000000 
He3Scan 0.393234 0.000000 
He3Scan 0.393264 0.000000 
He3Scan 0.393294 0.000000 
He3Scan 0.393324 0.000000 
He3Scan 0.393354 0.000000 
He3Scan 0.393384 0.000000 
He3Scan 0.393414 0.000000 
He3Scan 0.393444 0.000000 
He3Scan 0.393474 0.000000 
He3Scan 0.393504 0.000000 
He3Scan 0.393534 0.000000 
He3Scan 0.393564 0.000000 
He3Scan 0.393594 0.000000 
He3Scan 0.393624 0.000000 
He3Scan 0.393654 0.000000 
He3Scan 0.393684 0.000000 
He3Scan 0.393714 0.000000 
He3Scan 0.393744 0.000000 
He3Scan 0.393774 0.000000 
He3Scan 0.393804 0.004278 
He3Scan 0.393834 0.017113 
He3Scan 0.393864 0.020169 
He3Scan 0.393894 0.028726 
He3Scan 0.393924 0.022003 
He3Scan 0.393954 0.024447 
He3Scan 0.393984 0.027503 
He3Scan 0.394014 0.030559 
He3Scan 0.394044 0.029337 
He3Scan 0.394074 0.028726 
He3Scan 0.394104 0.025059 
He3Scan 0.394134 0.019558 
He3Scan 0.394164 0.013446 
He3Scan 0.394194 0.004278 
He3Scan 0.394224 0.000611 
He3Scan 0.394254 0.000000 
He3Scan 0.394284 0.000000 
He3Scan 0.394314 0.000000 
He3Scan 0.394344 0.000000 
He3Scan 0.394374 0.000000 
He3Scan 0.394404 0.000000 
He3Scan 0.394434 0.000000 
He3Scan 0.394464 0.000000 
He3Scan 0.394494 0.000611 
He3Scan 0.394524 0.030559 
He3Scan 0.394554 0.100238 
He3Scan 0.394584 0.139968 
He3Scan 0.394614 0.166252 
He3Scan 0.394644 0.158305 
He3Scan 0.394674 0.170531 
He3Scan 0.394704 0.199871 
He3Scan 0.394734 0.238993 
He3Scan 0.394764 0.268336 
He3Scan 0.394794 0.311739 
He3Scan 0.394824 0.288509 
He3Scan 0.394854 0.244495 
He3Scan 0.394884 0.198649 
He3Scan 0.394914 0.175421 
He3Scan 0.394944 0.140579 
He3Scan 0.394974 0.132022 
He3Scan 0.395004 0.138134 
He3Scan 0.395034 0.094125 
He3Scan 0.395064 0.056841 
He3Scan 0.395094 0.025670 
He3Scan 0.395124 0.008557 
He3Scan 0.395154 0.002445 
He3Scan 0.395184 0.001222 
He3Scan 0.395214 0.000000 
He3Scan 0.395244 0.000611 
He3Scan 0.395274 0.000611 
He3Scan 0.395304 0.000000 
He3Scan 0.395334 0.000000 
He3Scan 0.395364 0.000000 
He3Scan 0.395394 0.000000 
He3Scan 0.395434 0.000000 
He3Scan 0.395464 0.000000 
He3Scan 0.395494 0.000000 
He3Scan 0.395524 0.000000 
He3Scan 0.395554 0.000000 
He3Scan 0.395584 0.000000 
He3Scan 0.395614 0.000000 
He3Scan 0.395644 0.000000 
He3Scan 0.395674 0.000000 
He3Scan 0.395704 0.000000 
He3Scan 0.395734 0.000000 
He3Scan 0.395764 0.000000 
He3Scan 0.395794 0.000000 
He3Scan 0.395824 0.000000 


== peak centers ==
He4 0.503800 
He3 0.393999 


== analysis data ==
He4 267.055275 40329.975071 
He4 349.562994 40206.976903 
He4 432.067713 40094.687211 
He4 514.352419 39977.646880 
He4 596.912141 39843.213823 
He4 678.885830 39741.032101 
He4 761.535557 39633.415813 
He4 843.857266 39513.142282 
He4 926.015965 39408.075628 
He4 1008.487682 39303.026556 


He3 277.697884 0.026854 
