== analysis info ==
RunID:20140314164429
AnalysisID:1
AnalysisName:Furnace-1x0.28
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:16:44:29
AnalysisTimeStamp:3477674669
== counters ==
64 21.000000 
62 29.000000 


== scan data ==
He4Scan 0.503270 1.870293 
He4Scan 0.503290 3.145222 
He4Scan 0.503310 2.920223 
He4Scan 0.503330 5.395498 
He4Scan 0.503350 4.345306 
He4Scan 0.503370 5.170448 
He4Scan 0.503390 4.495326 
He4Scan 0.503410 4.120279 
He4Scan 0.503430 5.770594 
He4Scan 0.503450 4.345306 
He4Scan 0.503470 3.820251 
He4Scan 0.503490 7.346151 
He4Scan 0.503510 8.396662 
He4Scan 0.503530 10.873306 
He4Scan 0.503550 12.149396 
He4Scan 0.503570 21.913163 
He4Scan 0.503590 167.273246 
He4Scan 0.503610 4489.382558 
He4Scan 0.503630 34727.857293 
He4Scan 0.503650 61606.779857 
He4Scan 0.503670 67465.464698 
He4Scan 0.503690 68629.391160 
He4Scan 0.503710 68717.836132 
He4Scan 0.503730 68731.322269 
He4Scan 0.503750 68745.191988 
He4Scan 0.503770 68725.927321 
He4Scan 0.503790 68742.451425 
He4Scan 0.503810 68727.275996 
He4Scan 0.503830 68708.615612 
He4Scan 0.503850 68706.252426 
He4Scan 0.503870 68717.973861 
He4Scan 0.503890 68718.173236 
He4Scan 0.503910 68714.128165 
He4Scan 0.503930 68693.763399 
He4Scan 0.503950 68697.138464 
He4Scan 0.503970 68695.788407 
He4Scan 0.503990 68682.290102 
He4Scan 0.504010 68490.903656 
He4Scan 0.504030 64872.464200 
He4Scan 0.504050 34161.167836 
He4Scan 0.504070 10501.424742 
He4Scan 0.504090 1325.372939 
He4Scan 0.504110 158.498685 
He4Scan 0.504150 13.050263 
He4Scan 0.504170 4.870388 
He4Scan 0.504190 3.445230 
He4Scan 0.504210 3.145222 
He4Scan 0.504230 2.020276 
He4Scan 0.504250 0.970442 
He4Scan 0.504270 0.220628 
He4Scan 0.504290 1.420357 
He4Scan 0.504310 1.570334 
He4Scan 0.504330 1.870293 
He4Scan 0.504350 1.270383 
He4Scan 0.504370 2.245255 
He4Scan 0.504390 3.220223 
He4Scan 0.504410 2.770226 
He4Scan 0.504430 3.070222 
He4Scan 0.504450 2.545235 
He4Scan 0.504470 2.395244 


He3Scan 0.392865 0.000000 
He3Scan 0.392915 0.000000 
He3Scan 0.392965 0.000000 
He3Scan 0.393015 0.000000 
He3Scan 0.393065 0.000000 
He3Scan 0.393115 0.000000 
He3Scan 0.393165 0.000000 
He3Scan 0.393195 0.000000 
He3Scan 0.393225 0.000000 
He3Scan 0.393255 0.000000 
He3Scan 0.393285 0.000000 
He3Scan 0.393315 0.000000 
He3Scan 0.393345 0.000000 
He3Scan 0.393375 0.000000 
He3Scan 0.393405 0.000000 
He3Scan 0.393435 0.000000 
He3Scan 0.393465 0.000000 
He3Scan 0.393495 0.000000 
He3Scan 0.393525 0.000000 
He3Scan 0.393555 0.000000 
He3Scan 0.393585 0.000000 
He3Scan 0.393615 0.000000 
He3Scan 0.393645 0.000000 
He3Scan 0.393675 0.000000 
He3Scan 0.393705 0.000000 
He3Scan 0.393735 0.000000 
He3Scan 0.393765 0.000000 
He3Scan 0.393795 0.000000 
He3Scan 0.393825 0.000611 
He3Scan 0.393855 0.009168 
He3Scan 0.393885 0.029948 
He3Scan 0.393915 0.050729 
He3Scan 0.393945 0.051340 
He3Scan 0.393975 0.054396 
He3Scan 0.394005 0.043395 
He3Scan 0.394035 0.048895 
He3Scan 0.394065 0.056230 
He3Scan 0.394095 0.051951 
He3Scan 0.394125 0.055007 
He3Scan 0.394155 0.049507 
He3Scan 0.394185 0.029948 
He3Scan 0.394215 0.023225 
He3Scan 0.394245 0.004889 
He3Scan 0.394275 0.001834 
He3Scan 0.394305 0.000000 
He3Scan 0.394335 0.000000 
He3Scan 0.394365 0.000000 
He3Scan 0.394395 0.000000 
He3Scan 0.394425 0.000000 
He3Scan 0.394455 0.000000 
He3Scan 0.394485 0.000000 
He3Scan 0.394515 0.000000 
He3Scan 0.394545 0.001222 
He3Scan 0.394575 0.058064 
He3Scan 0.394605 0.130799 
He3Scan 0.394635 0.211486 
He3Scan 0.394665 0.193759 
He3Scan 0.394695 0.201705 
He3Scan 0.394725 0.215153 
He3Scan 0.394755 0.230435 
He3Scan 0.394785 0.270781 
He3Scan 0.394815 0.305626 
He3Scan 0.394845 0.341694 
He3Scan 0.394875 0.320909 
He3Scan 0.394905 0.263445 
He3Scan 0.394935 0.215765 
He3Scan 0.394965 0.169308 
He3Scan 0.394995 0.144858 
He3Scan 0.395025 0.132633 
He3Scan 0.395055 0.136301 
He3Scan 0.395085 0.093514 
He3Scan 0.395115 0.047673 
He3Scan 0.395145 0.029337 
He3Scan 0.395175 0.008557 
He3Scan 0.395205 0.001834 
He3Scan 0.395235 0.000000 
He3Scan 0.395265 0.000611 
He3Scan 0.395295 0.000000 
He3Scan 0.395325 0.000000 
He3Scan 0.395355 0.000000 
He3Scan 0.395385 0.000000 
He3Scan 0.395415 0.000000 
He3Scan 0.395445 0.000000 
He3Scan 0.395485 0.000000 
He3Scan 0.395515 0.000000 
He3Scan 0.395545 0.000000 
He3Scan 0.395575 0.000000 
He3Scan 0.395605 0.000000 
He3Scan 0.395635 0.000000 
He3Scan 0.395665 0.000000 
He3Scan 0.395695 0.000000 
He3Scan 0.395725 0.000000 
He3Scan 0.395755 0.000000 
He3Scan 0.395785 0.000000 
He3Scan 0.395815 0.000000 
He3Scan 0.395845 0.000000 
He3Scan 0.395875 0.000000 


== peak centers ==
He4 0.503840 
He3 0.394041 


== analysis data ==
He4 268.160337 68298.968344 
He4 317.070135 68195.347649 
He4 366.074938 68097.302407 
He4 414.908731 67973.205169 
He4 463.722523 67870.674633 
He4 512.571317 67776.762381 
He4 561.390110 67680.233230 
He4 610.236903 67581.805224 
He4 659.107698 67481.407987 
He4 708.123502 67388.486083 


He3 278.815947 0.053785 
He3 285.648338 0.052983 
He3 292.436726 0.049430 
He3 299.252116 0.050729 
He3 306.056505 0.050691 
He3 327.933756 0.050156 
He3 334.677142 0.054205 
He3 341.485532 0.049927 
He3 348.285921 0.047902 
He3 355.088310 0.049048 
He3 376.719547 0.048590 
He3 383.545938 0.050500 
He3 390.327325 0.050347 
He3 397.125714 0.052104 
He3 403.964105 0.050194 
He3 425.546340 0.052524 
He3 432.369730 0.049621 
He3 439.182119 0.051951 
He3 445.970508 0.051149 
He3 452.779897 0.051187 
He3 474.399134 0.050996 
He3 481.208523 0.049774 
He3 487.988911 0.048704 
He3 494.797300 0.051111 
He3 501.645692 0.047176 
He3 523.273929 0.052410 
He3 530.004314 0.050500 
He3 536.823704 0.051035 
He3 543.656095 0.050080 
He3 550.496487 0.050614 
He3 572.042719 0.050462 
He3 578.849108 0.049965 
He3 585.657497 0.049392 
He3 592.459887 0.049239 
He3 599.312279 0.049621 
He3 620.882512 0.049659 
He3 627.694902 0.048628 
He3 634.521292 0.050653 
He3 641.299680 0.048743 
He3 648.110070 0.052257 
He3 669.938318 0.051608 
He3 676.753708 0.051035 
He3 683.521095 0.046871 
He3 690.325484 0.047176 
He3 697.144874 0.051111 
He3 718.802113 0.050423 
He3 725.572500 0.050958 
He3 732.374889 0.051226 
He3 739.178278 0.049048 
He3 746.002669 0.053441 


== extrapolation results ==
He4 68847.995588 8.611603 20.487491 
He3 0.051407 0.001568 0.001433 


