== analysis info ==
RunID:20140314214930
AnalysisID:1
AnalysisName:Furnace-1x0.06
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:21:49:30
AnalysisTimeStamp:3477692970
== counters ==
64 28.000000 
62 31.000000 


== scan data ==
He4Scan 0.503190 0.520547 
He4Scan 0.503210 -0.604101 
He4Scan 0.503230 0.679883 
He4Scan 0.503250 1.345370 
He4Scan 0.503270 1.045426 
He4Scan 0.503290 3.745246 
He4Scan 0.503310 2.470239 
He4Scan 0.503330 1.495345 
He4Scan 0.503350 1.645323 
He4Scan 0.503370 1.270383 
He4Scan 0.503390 3.145222 
He4Scan 0.503410 3.229598 
He4Scan 0.503430 1.729686 
He4Scan 0.503450 1.195397 
He4Scan 0.503470 3.295225 
He4Scan 0.503490 2.920223 
He4Scan 0.503510 2.995222 
He4Scan 0.503530 51.413040 
He4Scan 0.503550 934.407702 
He4Scan 0.503570 7595.655924 
He4Scan 0.503590 12457.355404 
He4Scan 0.503610 13649.432209 
He4Scan 0.503630 13823.748539 
He4Scan 0.503650 13844.995751 
He4Scan 0.503670 13839.116858 
He4Scan 0.503690 13841.022868 
He4Scan 0.503710 13837.050923 
He4Scan 0.503730 13834.232692 
He4Scan 0.503750 13829.750117 
He4Scan 0.503770 13836.794701 
He4Scan 0.503790 13831.799146 
He4Scan 0.503810 13826.933109 
He4Scan 0.503830 13831.414934 
He4Scan 0.503850 13834.745063 
He4Scan 0.503870 13826.436981 
He4Scan 0.503890 13833.736348 
He4Scan 0.503910 13828.085464 
He4Scan 0.503930 13821.316509 
He4Scan 0.503950 13767.629627 
He4Scan 0.503970 12760.515085 
He4Scan 0.503990 5946.922932 
He4Scan 0.504010 1480.540071 
He4Scan 0.504030 297.181549 
He4Scan 0.504070 9.672432 
He4Scan 0.504090 0.445567 
He4Scan 0.504110 -0.754044 
He4Scan 0.504130 -0.154257 
He4Scan 0.504150 -1.044553 
He4Scan 0.504170 -0.978955 
He4Scan 0.504190 -0.379181 
He4Scan 0.504210 0.155023 
He4Scan 0.504230 -0.604101 
He4Scan 0.504250 -0.304207 
He4Scan 0.504270 -0.229232 
He4Scan 0.504290 -0.154257 
He4Scan 0.504310 -0.004304 
He4Scan 0.504330 0.595528 
He4Scan 0.504350 1.654696 
He4Scan 0.504370 -0.978955 
He4Scan 0.504390 1.120411 


He3Scan 0.392791 0.000000 
He3Scan 0.392841 0.000000 
He3Scan 0.392891 0.000000 
He3Scan 0.392941 0.000000 
He3Scan 0.392991 0.000000 
He3Scan 0.393041 0.000000 
He3Scan 0.393091 0.000000 
He3Scan 0.393121 0.000000 
He3Scan 0.393151 0.000000 
He3Scan 0.393181 0.000000 
He3Scan 0.393211 0.000000 
He3Scan 0.393241 0.000000 
He3Scan 0.393271 0.000000 
He3Scan 0.393301 0.000000 
He3Scan 0.393331 0.000000 
He3Scan 0.393361 0.000000 
He3Scan 0.393391 0.000000 
He3Scan 0.393421 0.000000 
He3Scan 0.393451 0.000000 
He3Scan 0.393481 0.000000 
He3Scan 0.393511 0.000000 
He3Scan 0.393541 0.000000 
He3Scan 0.393571 0.000000 
He3Scan 0.393601 0.000000 
He3Scan 0.393631 0.000000 
He3Scan 0.393661 0.000000 
He3Scan 0.393691 0.000000 
He3Scan 0.393721 0.000000 
He3Scan 0.393751 0.000000 
He3Scan 0.393781 0.001222 
