== analysis info ==
RunID:20140314094514
AnalysisID:1
AnalysisName:Furnace-1x0.28
AnalysisType:air
AnalysisDate:2014-03-14
AnalysisTime:09:45:14
== counters ==
64 21.000000 0.000000
62 22.000000 0.000000


== scan data ==
He4Scan 0.503190 2.395244
He4Scan 0.503210 2.095269
He4Scan 0.503230 1.945284
He4Scan 0.503250 3.595237
He4Scan 0.503270 2.620232
He4Scan 0.503290 2.695229
He4Scan 0.503310 4.054647
He4Scan 0.503330 2.695229
He4Scan 0.503350 2.920223
He4Scan 0.503370 3.595237
He4Scan 0.503390 4.354682
He4Scan 0.503410 4.120279
He4Scan 0.503430 4.645349
He4Scan 0.503450 3.295225
He4Scan 0.503470 4.495326
He4Scan 0.503490 5.020417
He4Scan 0.503510 4.870388
He4Scan 0.503530 5.620554
He4Scan 0.503550 8.096504
He4Scan 0.503570 9.897585
He4Scan 0.503590 10.807630
He4Scan 0.503610 15.227699
He4Scan 0.503630 67.630146
He4Scan 0.503650 1475.909191
He4Scan 0.503670 15945.643770
He4Scan 0.503690 51271.554832
He4Scan 0.503710 66699.360826
He4Scan 0.503730 69097.956933
He4Scan 0.503750 69351.589507
He4Scan 0.503770 69346.834909
He4Scan 0.503790 69346.129268
He4Scan 0.503810 69362.076887
He4Scan 0.503830 69331.173793
He4Scan 0.503850 69344.457800
He4Scan 0.503870 69331.216228
He4Scan 0.503890 69347.811258
He4Scan 0.503910 69342.717497
He4Scan 0.503930 69335.926721
He4Scan 0.503950 69312.056652
He4Scan 0.503970 69321.669458
He4Scan 0.503990 69313.118871
He4Scan 0.504010 69294.385032
He4Scan 0.504030 69310.399639
He4Scan 0.504070 68213.266542
He4Scan 0.504090 49873.502642
He4Scan 0.504110 18856.554711
He4Scan 0.504130 4452.882057
He4Scan 0.504150 453.411940
He4Scan 0.504170 61.743668
He4Scan 0.504190 15.377884
He4Scan 0.504210 7.721320
He4Scan 0.504230 4.645349
He4Scan 0.504250 3.445230
He4Scan 0.504270 3.595237
He4Scan 0.504290 1.345370
He4Scan 0.504310 1.570334
He4Scan 0.504330 1.870293
He4Scan 0.504350 2.170262
He4Scan 0.504370 2.170262
He4Scan 0.504390 2.320249


He3Scan 0.392797 0.000000
He3Scan 0.392847 0.000000
He3Scan 0.392897 0.000000
He3Scan 0.392947 0.000000
He3Scan 0.392997 0.000000
He3Scan 0.393047 0.000000
He3Scan 0.393097 0.000000
He3Scan 0.393127 0.000000
He3Scan 0.393157 0.000000
He3Scan 0.393187 0.000000
He3Scan 0.393217 0.000000
He3Scan 0.393247 0.000000
He3Scan 0.393277 0.000000
He3Scan 0.393307 0.000000
He3Scan 0.393337 0.000000
He3Scan 0.393367 0.000000
He3Scan 0.393397 0.000000
He3Scan 0.393427 0.000000
He3Scan 0.393457 0.000000
He3Scan 0.393487 0.000611
He3Scan 0.393517 0.000000
He3Scan 0.393547 0.000000
He3Scan 0.393577 0.000000
He3Scan 0.393607 0.000000
He3Scan 0.393637 0.000000
He3Scan 0.393667 0.000000
He3Scan 0.393697 0.000000
He3Scan 0.393727 0.000000
He3Scan 0.393757 0.000000
He3Scan 0.393787 0.000000
He3Scan 0.393817 0.000000
He3Scan 0.393847 0.000000
He3Scan 0.393877 0.000000
He3Scan 0.393907 0.004889
He3Scan 0.393937 0.026281
He3Scan 0.393967 0.033615
He3Scan 0.393997 0.046451
He3Scan 0.394027 0.050118
He3Scan 0.394057 0.038505
He3Scan 0.394087 0.046451
He3Scan 0.394117 0.047062
He3Scan 0.394147 0.051340
He3Scan 0.394177 0.055007
He3Scan 0.394207 0.051340
He3Scan 0.394237 0.034838
He3Scan 0.394267 0.015280
He3Scan 0.394297 0.006723
He3Scan 0.394327 0.001834
He3Scan 0.394357 0.000000
He3Scan 0.394387 0.000000
He3Scan 0.394417 0.000000
He3Scan 0.394447 0.000000
He3Scan 0.394477 0.000000
He3Scan 0.394507 0.000000
He3Scan 0.394537 0.000000
He3Scan 0.394567 0.000000
He3Scan 0.394597 0.001222
He3Scan 0.394627 0.060508
He3Scan 0.394657 0.136301
He3Scan 0.394687 0.179700
He3Scan 0.394717 0.218821
He3Scan 0.394747 0.208429
He3Scan 0.394777 0.204762
He3Scan 0.394807 0.248774
He3Scan 0.394837 0.259166
He3Scan 0.394867 0.309905
He3Scan 0.394897 0.331913
He3Scan 0.394927 0.329468
He3Scan 0.394957 0.276283
He3Scan 0.394987 0.209041
He3Scan 0.395017 0.150359
He3Scan 0.395047 0.132633
He3Scan 0.395077 0.122242
He3Scan 0.395107 0.142413
He3Scan 0.395137 0.105739
He3Scan 0.395167 0.056841
He3Scan 0.395197 0.027503
He3Scan 0.395227 0.009168
He3Scan 0.395257 0.002445
He3Scan 0.395287 0.000000
He3Scan 0.395317 0.000000
He3Scan 0.395347 0.000611
He3Scan 0.395377 0.000000
He3Scan 0.395417 0.000000
He3Scan 0.395447 0.000000
He3Scan 0.395477 0.000000
He3Scan 0.395507 0.000000
He3Scan 0.395537 0.000000
He3Scan 0.395567 0.000000
He3Scan 0.395597 0.000000
He3Scan 0.395627 0.000000
He3Scan 0.395657 0.000000
He3Scan 0.395687 0.000000
He3Scan 0.395717 0.000000
He3Scan 0.395747 0.000000
He3Scan 0.395777 0.000000
He3Scan 0.395807 0.000611


== peak centers ==
He4 0.503890 0.000000
He3 0.394105 0.000000


== analysis data ==
He4 253.449497 68918.820700
He4 298.481072 68804.591104
He4 343.428643 68718.578614
He4 388.480220 68611.395035
He4 433.611801 68289.564291
He4 478.678379 68181.934305
He4 523.716955 68077.184803
He4 568.658525 67984.066939
He4 613.645099 67879.237561
He4 658.644672 67785.464795


He3 263.571075 0.049239
He3 269.720427 0.053327
He3 275.847778 0.049621
He3 281.975128 0.051226
He3 288.141481 0.049316
He3 308.619652 0.048322
He3 314.752003 0.047940
He3 320.875353 0.051226
He3 327.012704 0.050156
He3 333.142055 0.050653
He3 353.591225 0.049239
He3 359.753577 0.049468
He3 365.891928 0.049354
He3 372.030279 0.048819
He3 378.167630 0.049736
He3 398.617800 0.053518
He3 404.768152 0.048628
He3 410.948505 0.049507
He3 417.104857 0.051302
He3 423.250209 0.050729
He3 443.739380 0.051531
He3 449.945735 0.052601
He3 456.101088 0.051073
He3 462.232439 0.048361
He3 468.367789 0.047788
He3 488.812959 0.051684
He3 494.948309 0.048895
He3 501.097661 0.050882
He3 507.249013 0.050462
He3 513.410366 0.049659
He3 533.845534 0.049086
He3 539.964884 0.050538
He3 546.100235 0.049163
He3 552.224586 0.051760
He3 558.372937 0.047902
He3 578.801105 0.050805
He3 584.960458 0.049927
He3 591.098809 0.050996
He3 597.239160 0.050156
He3 603.361510 0.047711
He3 623.789679 0.049010
He3 629.940031 0.048475
He3 636.081382 0.048895
He3 642.221733 0.050576
He3 648.348083 0.050118
He3 668.799253 0.048208
He3 674.926604 0.052066
He3 681.067955 0.049965
He3 687.198306 0.050653
He3 693.333657 0.049698


== extrapolation results ==
He4 69679.346807 58.145294
He3 0.050409 0.001369


